"date","year","week","temp_mean","temp_max","rainfall","humidity","wind_speed","aphid_abundance"
2015-06-01,2015,22,12.81,16.44,76.13,78.34,2.83,46
2015-06-08,2015,23,13.84,21.54,51.3,81.43,2.78,38
2015-06-15,2015,24,13.77,17.07,33.59,78.84,2.35,64
2015-06-22,2015,25,13.54,18.57,58.66,75.98,3.15,20
2015-06-29,2015,26,17.38,24.32,69.08,83.34,3.93,55
2015-07-06,2015,27,17.42,23.26,82.01,82.58,3.11,43
2015-07-13,2015,28,19.33,24.14,66.66,84.53,3.17,46
2015-07-20,2015,29,19.08,24.61,76.19,85.7,3.6,84
2015-07-27,2015,30,20.4,27.18,61.57,84.34,3.97,84
2015-08-03,2015,31,19.72,24.91,35.51,80.9,3.69,91
2015-08-10,2015,32,19.66,24.09,41.09,76.78,4.58,80
2015-08-17,2015,33,22.87,29.32,81.3,75.64,4.14,112
2015-08-24,2015,34,23.38,30.25,62.21,73.35,3.98,100
2015-08-31,2015,35,20.12,24.14,39.97,70.8,3.44,110
2015-09-07,2015,36,24.45,30.17,37.44,71.22,3.5,132
2015-09-14,2015,37,20.81,25.94,32,74.06,4.17,141
2015-09-21,2015,38,23.66,29.36,45.59,71.94,3.72,132
2015-09-28,2015,39,23.31,28.84,36.97,64.37,4.38,153
2015-10-05,2015,40,23.8,28.78,23.79,72.79,2.93,154
2015-10-12,2015,41,25.63,31.07,53.21,72,3.83,139
2015-10-19,2015,42,22.02,25.81,32.29,71.65,3.31,124
2015-10-26,2015,43,23.33,26.93,40.36,59.76,4.2,134
2015-11-02,2015,44,27.3,33.02,20.29,62.02,3.57,144
2015-11-09,2015,45,20.92,26,25.67,61.15,2.73,140
2015-11-16,2015,46,21.78,26.65,35.7,60.2,2.47,115
2015-11-23,2015,47,22.18,25.51,27.64,59.08,3.11,128
2015-11-30,2015,48,22,26.43,29.1,58.56,2.73,93
2015-12-07,2015,49,20.3,25.5,0,56.51,2.72,140
2015-12-14,2015,50,20.06,24.58,13.29,57.88,2.56,124
2015-12-21,2015,51,21.41,26.49,5.99,58.68,2.86,109
2015-12-28,2015,52,18.81,24.2,0,60.81,1.89,74
2016-01-04,2016,1,18.74,23.6,0,62.62,4.07,73
2016-01-11,2016,2,18.19,23.62,30.64,64.35,2.4,92
2016-01-18,2016,3,17.53,22.29,11.54,57.76,1.91,85
2016-01-25,2016,4,16.95,21.64,2.85,61.72,2.04,81
2016-02-01,2016,5,15.62,20.37,19.41,71.6,2.34,86
2016-02-08,2016,6,13.83,19.47,0,61.23,2.35,46
2016-02-15,2016,7,14.21,20.03,9.08,66.95,1.12,26
2016-02-22,2016,8,12.31,19.65,30.05,62.21,0.97,24
2016-02-29,2016,9,13.42,17.43,5.02,70.34,1.96,21
2016-03-07,2016,10,12.34,16.64,0,69.4,2.45,3
2016-03-14,2016,11,12.35,18,5.96,64.72,2.15,21
2016-03-21,2016,12,10.62,17.26,0.88,73.7,2.63,0
2016-03-28,2016,13,11.67,17.9,23.07,75.31,2.38,0
2016-04-04,2016,14,10.38,14.91,27,75.53,2.46,21
2016-04-11,2016,15,11.4,15.72,37.83,62.09,3.18,20
2016-04-18,2016,16,12.89,19.59,55.01,74.86,1.9,0
2016-04-25,2016,17,12.63,19.18,52.09,81.42,2.14,12
2016-05-02,2016,18,13.88,19.09,15.25,75.64,2.84,8
2016-05-09,2016,19,13.6,20.3,66.94,74.58,2.89,0
2016-05-16,2016,20,13.44,18.44,41.89,77.38,1.79,7
2016-05-23,2016,21,15.25,19.44,36.7,69.13,3.27,14
2016-05-30,2016,22,16.09,21.04,72.85,74.65,2.48,0
2016-06-06,2016,23,12.8,17.88,53.75,79.26,2.63,28
2016-06-13,2016,24,16.88,20.32,75.33,83.21,4.22,5
2016-06-20,2016,25,17.38,22.21,50.48,80.84,4.04,39
2016-06-27,2016,26,18.33,22.91,41.62,82.53,3.19,29
2016-07-04,2016,27,16.27,21.77,24.22,75.67,4.5,36
2016-07-11,2016,28,21.98,26.44,71.4,85.43,3.48,42
2016-07-18,2016,29,15.19,20.67,41.6,83.8,4.34,62
2016-07-25,2016,30,19.8,25.33,68.05,80.92,4.57,72
2016-08-01,2016,31,20.64,25.36,56.47,77.05,4.6,106
2016-08-08,2016,32,20.88,25.84,61.1,80.37,4.6,115
2016-08-15,2016,33,22.82,30.2,72,73.53,3.85,110
