"date","year","week","aphid_count","ladybird_count"
2018-01-01,2018,0,200,30
2018-01-08,2018,1,199,30
2018-01-15,2018,2,201,32
2018-01-22,2018,3,197,30
2018-01-29,2018,4,202,33
2018-02-05,2018,5,195,31
2018-02-12,2018,6,198,31
2018-02-19,2018,7,201,30
2018-02-26,2018,8,196,33
2018-03-05,2018,9,202,36
2018-03-12,2018,10,219,38
2018-03-19,2018,11,207,40
2018-03-26,2018,12,220,46
2018-04-02,2018,13,213,46
2018-04-09,2018,14,212,45
2018-04-16,2018,15,213,47
2018-04-23,2018,16,209,53
2018-04-30,2018,17,214,55
2018-05-07,2018,18,223,58
2018-05-14,2018,19,228,63
2018-05-21,2018,20,231,64
2018-05-28,2018,21,238,66
2018-06-04,2018,22,239,68
2018-06-11,2018,23,246,71
2018-06-18,2018,24,254,74
2018-06-25,2018,25,251,81
2018-07-02,2018,26,250,87
2018-07-09,2018,27,240,91
2018-07-16,2018,28,235,95
2018-07-23,2018,29,243,100
2018-07-30,2018,30,239,103
2018-08-06,2018,31,227,111
2018-08-13,2018,32,229,118
2018-08-20,2018,33,207,128
2018-08-27,2018,34,203,134
2018-09-03,2018,35,195,137
2018-09-10,2018,36,172,142
2018-09-17,2018,37,148,147
2018-09-24,2018,38,145,149
2018-10-01,2018,39,126,152
2018-10-08,2018,40,105,154
2018-10-15,2018,41,101,158
2018-10-22,2018,42,93,156
2018-10-29,2018,43,82,159
2018-11-05,2018,44,79,160
2018-11-12,2018,45,48,160
2018-11-19,2018,46,47,160
2018-11-26,2018,47,43,160
2018-12-03,2018,48,34,161
2018-12-10,2018,49,34,157
2018-12-17,2018,50,41,158
2018-12-24,2018,51,43,153
2018-12-31,2018,52,34,154
2019-01-07,2019,1,30,153
2019-01-14,2019,2,47,149
2019-01-21,2019,3,25,149
2019-01-28,2019,4,17,148
2019-02-04,2019,5,9,150
2019-02-11,2019,6,7,147
2019-02-18,2019,7,5,146
2019-02-25,2019,8,6,140
2019-03-04,2019,9,5,139
2019-03-11,2019,10,5,138
2019-03-18,2019,11,5,135
2019-03-25,2019,12,9,135
2019-04-01,2019,13,5,132
2019-04-08,2019,14,5,128
2019-04-15,2019,15,5,125
2019-04-22,2019,16,10,121
2019-04-29,2019,17,5,120
2019-05-06,2019,18,5,120
2019-05-13,2019,19,5,118
2019-05-20,2019,20,5,116
2019-05-27,2019,21,20,112
2019-06-03,2019,22,28,110
2019-06-10,2019,23,21,109
2019-06-17,2019,24,27,107
2019-06-24,2019,25,20,106
2019-07-01,2019,26,28,104
2019-07-08,2019,27,16,100
2019-07-15,2019,28,10,98
2019-07-22,2019,29,10,97
2019-07-29,2019,30,6,93
2019-08-05,2019,31,11,92
2019-08-12,2019,32,20,87
2019-08-19,2019,33,20,89
2019-08-26,2019,34,25,86
2019-09-02,2019,35,30,83
2019-09-09,2019,36,26,85
2019-09-16,2019,37,23,85
2019-09-23,2019,38,19,81
2019-09-30,2019,39,12,78
2019-10-07,2019,40,7,76
2019-10-14,2019,41,6,74
2019-10-21,2019,42,21,70
2019-10-28,2019,43,17,69
2019-11-04,2019,44,29,69
2019-11-11,2019,45,38,64
2019-11-18,2019,46,47,63
2019-11-25,2019,47,43,60
2019-12-02,2019,48,43,63
2019-12-09,2019,49,60,61
2019-12-16,2019,50,62,63
2019-12-23,2019,51,58,63
2019-12-30,2019,52,53,64
2020-01-06,2020,1,62,65
2020-01-13,2020,2,63,64
2020-01-20,2020,3,65,63
2020-01-27,2020,4,60,65
2020-02-03,2020,5,62,65
2020-02-10,2020,6,59,67
2020-02-17,2020,7,68,65
2020-02-24,2020,8,68,65
2020-03-02,2020,9,62,63
2020-03-09,2020,10,62,65
2020-03-16,2020,11,73,61
2020-03-23,2020,12,68,60
2020-03-30,2020,13,55,59
2020-04-06,2020,14,49,57
2020-04-13,2020,15,33,57
2020-04-20,2020,16,28,60
2020-04-27,2020,17,35,56
2020-05-04,2020,18,37,54
2020-05-11,2020,19,45,54
2020-05-18,2020,20,42,55
2020-05-25,2020,21,44,54
2020-06-01,2020,22,61,52
2020-06-08,2020,23,59,49
2020-06-15,2020,24,61,51
2020-06-22,2020,25,46,50
2020-06-29,2020,26,38,53
2020-07-06,2020,27,50,53
2020-07-13,2020,28,62,51
2020-07-20,2020,29,71,50
2020-07-27,2020,30,75,49
2020-08-03,2020,31,74,51
2020-08-10,2020,32,64,50
2020-08-17,2020,33,66,49
2020-08-24,2020,34,67,49
2020-08-31,2020,35,80,50
2020-09-07,2020,36,104,49
2020-09-14,2020,37,110,53
2020-09-21,2020,38,110,52
2020-09-28,2020,39,101,53
2020-10-05,2020,40,109,55
2020-10-12,2020,41,89,54
2020-10-19,2020,42,87,51
2020-10-26,2020,43,90,47
2020-11-02,2020,44,89,46
2020-11-09,2020,45,82,46
2020-11-16,2020,46,83,47
2020-11-23,2020,47,78,43
2020-11-30,2020,48,65,41
2020-12-07,2020,49,69,40
2020-12-14,2020,50,70,37
2020-12-21,2020,51,64,38
2020-12-28,2020,52,62,38
2021-01-04,2021,1,60,40
2021-01-11,2021,2,54,42
2021-01-18,2021,3,61,39
2021-01-25,2021,4,61,39
2021-02-01,2021,5,69,41
2021-02-08,2021,6,68,41
2021-02-15,2021,7,63,41
2021-02-22,2021,8,55,39
