"date","year","month","population_index","disturbance_event"
2005-01-01,2005,1,110,"no"
2005-02-01,2005,2,118,"no"
2005-03-01,2005,3,121,"no"
2005-04-01,2005,4,112,"no"
2005-05-01,2005,5,112,"no"
2005-06-01,2005,6,101,"no"
2005-07-01,2005,7,96,"no"
2005-08-01,2005,8,86,"no"
2005-09-01,2005,9,86,"no"
2005-10-01,2005,10,79,"no"
2005-11-01,2005,11,91,"no"
2005-12-01,2005,12,102,"no"
2006-01-01,2006,1,113,"no"
2006-02-01,2006,2,116,"no"
2006-03-01,2006,3,128,"no"
2006-04-01,2006,4,116,"no"
2006-05-01,2006,5,105,"no"
2006-06-01,2006,6,104,"no"
2006-07-01,2006,7,96,"no"
2006-08-01,2006,8,90,"no"
2006-09-01,2006,9,78,"no"
2006-10-01,2006,10,84,"no"
2006-11-01,2006,11,87,"no"
2006-12-01,2006,12,107,"no"
2007-01-01,2007,1,115,"no"
2007-02-01,2007,2,125,"no"
2007-03-01,2007,3,126,"no"
2007-04-01,2007,4,118,"no"
2007-05-01,2007,5,114,"no"
2007-06-01,2007,6,96,"no"
2007-07-01,2007,7,97,"no"
2007-08-01,2007,8,91,"no"
2007-09-01,2007,9,79,"no"
2007-10-01,2007,10,76,"no"
2007-11-01,2007,11,83,"no"
2007-12-01,2007,12,95,"no"
2008-01-01,2008,1,125,"no"
2008-02-01,2008,2,122,"no"
2008-03-01,2008,3,116,"no"
2008-04-01,2008,4,126,"no"
2008-05-01,2008,5,100,"no"
2008-06-01,2008,6,103,"no"
2008-07-01,2008,7,104,"no"
2008-08-01,2008,8,85,"no"
2008-09-01,2008,9,95,"no"
2008-10-01,2008,10,102,"no"
2008-11-01,2008,11,85,"no"
2008-12-01,2008,12,95,"no"
2009-01-01,2009,1,107,"no"
2009-02-01,2009,2,128,"no"
2009-03-01,2009,3,133,"no"
2009-04-01,2009,4,133,"no"
2009-05-01,2009,5,127,"no"
2009-06-01,2009,6,116,"no"
2009-07-01,2009,7,116,"yes"
2009-08-01,2009,8,91,"yes"
2009-09-01,2009,9,86,"yes"
2009-10-01,2009,10,91,"yes"
2009-11-01,2009,11,113,"yes"
2009-12-01,2009,12,131,"yes"
2010-01-01,2010,1,165,"yes"
2010-02-01,2010,2,135,"yes"
2010-03-01,2010,3,126,"yes"
2010-04-01,2010,4,147,"yes"
2010-05-01,2010,5,124,"yes"
2010-06-01,2010,6,105,"yes"
2010-07-01,2010,7,110,"yes"
2010-08-01,2010,8,125,"yes"
2010-09-01,2010,9,114,"yes"
2010-10-01,2010,10,104,"yes"
2010-11-01,2010,11,109,"no"
2010-12-01,2010,12,116,"no"
2011-01-01,2011,1,119,"no"
2011-02-01,2011,2,97,"no"
2011-03-01,2011,3,142,"no"
2011-04-01,2011,4,121,"no"
2011-05-01,2011,5,132,"no"
2011-06-01,2011,6,102,"no"
2011-07-01,2011,7,82,"no"
2011-08-01,2011,8,108,"no"
2011-09-01,2011,9,92,"no"
2011-10-01,2011,10,130,"no"
2011-11-01,2011,11,119,"no"
2011-12-01,2011,12,130,"no"
2012-01-01,2012,1,135,"no"
2012-02-01,2012,2,118,"no"
2012-03-01,2012,3,125,"no"
2012-04-01,2012,4,141,"no"
2012-05-01,2012,5,134,"no"
2012-06-01,2012,6,118,"no"
2012-07-01,2012,7,91,"no"
2012-08-01,2012,8,111,"no"
2012-09-01,2012,9,76,"no"
2012-10-01,2012,10,89,"no"
2012-11-01,2012,11,126,"no"
2012-12-01,2012,12,120,"no"
2013-01-01,2013,1,135,"no"
2013-02-01,2013,2,134,"no"
2013-03-01,2013,3,122,"no"
2013-04-01,2013,4,124,"no"
2013-05-01,2013,5,124,"no"
2013-06-01,2013,6,91,"no"
2013-07-01,2013,7,92,"no"
2013-08-01,2013,8,105,"no"
2013-09-01,2013,9,90,"no"
2013-10-01,2013,10,93,"no"
2013-11-01,2013,11,110,"no"
2013-12-01,2013,12,109,"no"
2014-01-01,2014,1,128,"no"
2014-02-01,2014,2,123,"no"
2014-03-01,2014,3,126,"no"
2014-04-01,2014,4,119,"no"
2014-05-01,2014,5,125,"no"
2014-06-01,2014,6,113,"no"
2014-07-01,2014,7,113,"no"
2014-08-01,2014,8,97,"no"
2014-09-01,2014,9,103,"no"
2014-10-01,2014,10,110,"no"
2014-11-01,2014,11,101,"no"
2014-12-01,2014,12,118,"no"
2015-01-01,2015,1,120,"no"
2015-02-01,2015,2,137,"no"
2015-03-01,2015,3,129,"no"
2015-04-01,2015,4,127,"no"
2015-05-01,2015,5,127,"no"
2015-06-01,2015,6,116,"no"
2015-07-01,2015,7,107,"no"
2015-08-01,2015,8,99,"no"
2015-09-01,2015,9,94,"no"
2015-10-01,2015,10,103,"yes"
2015-11-01,2015,11,113,"yes"
2015-12-01,2015,12,144,"yes"
2016-01-01,2016,1,127,"yes"
2016-02-01,2016,2,146,"yes"
2016-03-01,2016,3,132,"yes"
2016-04-01,2016,4,146,"yes"
2016-05-01,2016,5,126,"yes"
2016-06-01,2016,6,109,"yes"
2016-07-01,2016,7,130,"yes"
2016-08-01,2016,8,106,"yes"
2016-09-01,2016,9,136,"yes"
2016-10-01,2016,10,118,"yes"
2016-11-01,2016,11,132,"yes"
2016-12-01,2016,12,125,"yes"
2017-01-01,2017,1,159,"yes"
2017-02-01,2017,2,137,"no"
2017-03-01,2017,3,138,"no"
2017-04-01,2017,4,138,"no"
2017-05-01,2017,5,130,"no"
2017-06-01,2017,6,121,"no"
2017-07-01,2017,7,111,"no"
2017-08-01,2017,8,108,"no"
2017-09-01,2017,9,94,"no"
2017-10-01,2017,10,110,"no"
2017-11-01,2017,11,107,"no"
2017-12-01,2017,12,119,"no"
2018-01-01,2018,1,130,"no"
2018-02-01,2018,2,135,"no"
2018-03-01,2018,3,129,"no"
2018-04-01,2018,4,135,"no"
2018-05-01,2018,5,130,"no"
2018-06-01,2018,6,111,"no"
2018-07-01,2018,7,114,"no"
2018-08-01,2018,8,100,"no"
2018-09-01,2018,9,108,"no"
2018-10-01,2018,10,105,"no"
2018-11-01,2018,11,107,"no"
2018-12-01,2018,12,122,"no"
2019-01-01,2019,1,132,"no"
2019-02-01,2019,2,142,"no"
2019-03-01,2019,3,141,"no"
2019-04-01,2019,4,130,"no"
2019-05-01,2019,5,124,"no"
2019-06-01,2019,6,116,"no"
2019-07-01,2019,7,114,"no"
2019-08-01,2019,8,103,"no"
2019-09-01,2019,9,99,"no"
2019-10-01,2019,10,101,"no"
2019-11-01,2019,11,113,"no"
2019-12-01,2019,12,119,"no"
2020-01-01,2020,1,131,"no"
2020-02-01,2020,2,136,"no"
2020-03-01,2020,3,137,"no"
2020-04-01,2020,4,145,"no"
2020-05-01,2020,5,152,"yes"
2020-06-01,2020,6,153,"yes"
2020-07-01,2020,7,131,"yes"
2020-08-01,2020,8,112,"yes"
2020-09-01,2020,9,122,"yes"
2020-10-01,2020,10,121,"yes"
2020-11-01,2020,11,127,"yes"
2020-12-01,2020,12,132,"yes"
2021-01-01,2021,1,146,"yes"
2021-02-01,2021,2,163,"yes"
2021-03-01,2021,3,142,"yes"
2021-04-01,2021,4,149,"yes"
2021-05-01,2021,5,159,"yes"
2021-06-01,2021,6,137,"yes"
2021-07-01,2021,7,133,"yes"
2021-08-01,2021,8,116,"yes"
2021-09-01,2021,9,105,"no"
2021-10-01,2021,10,104,"no"
2021-11-01,2021,11,120,"no"
2021-12-01,2021,12,130,"no"
2022-01-01,2022,1,132,"no"
2022-02-01,2022,2,146,"no"
2022-03-01,2022,3,148,"no"
2022-04-01,2022,4,148,"no"
2022-05-01,2022,5,137,"no"
2022-06-01,2022,6,121,"no"
2022-07-01,2022,7,120,"no"
2022-08-01,2022,8,106,"no"
2022-09-01,2022,9,109,"no"
2022-10-01,2022,10,117,"no"
2022-11-01,2022,11,109,"no"
2022-12-01,2022,12,137,"no"
2023-01-01,2023,1,147,"no"
2023-02-01,2023,2,140,"no"
2023-03-01,2023,3,146,"no"
2023-04-01,2023,4,141,"no"
2023-05-01,2023,5,134,"no"
2023-06-01,2023,6,131,"no"
2023-07-01,2023,7,113,"no"
2023-08-01,2023,8,110,"no"
2023-09-01,2023,9,107,"no"
2023-10-01,2023,10,111,"no"
2023-11-01,2023,11,119,"no"
2023-12-01,2023,12,134,"no"
2024-01-01,2024,1,137,"no"
2024-02-01,2024,2,143,"no"
2024-03-01,2024,3,152,"no"
2024-04-01,2024,4,148,"no"
2024-05-01,2024,5,140,"no"
2024-06-01,2024,6,132,"no"
2024-07-01,2024,7,114,"no"
2024-08-01,2024,8,117,"no"
2024-09-01,2024,9,112,"no"
2024-10-01,2024,10,117,"no"
2024-11-01,2024,11,117,"no"
2024-12-01,2024,12,122,"no"
