"date","year","month","count","species"
2010-01-01,2010,1,192,"Mixed waders"
2010-02-01,2010,2,134,"Mixed waders"
2010-03-01,2010,3,119,"Mixed waders"
2010-04-01,2010,4,104,"Mixed waders"
2010-05-01,2010,5,92,"Mixed waders"
2010-06-01,2010,6,75,"Mixed waders"
2010-07-01,2010,7,95,"Mixed waders"
2010-08-01,2010,8,82,"Mixed waders"
2010-09-01,2010,9,150,"Mixed waders"
2010-10-01,2010,10,209,"Mixed waders"
2010-11-01,2010,11,260,"Mixed waders"
2010-12-01,2010,12,256,"Mixed waders"
2011-01-01,2011,1,161,"Mixed waders"
2011-02-01,2011,2,148,"Mixed waders"
2011-03-01,2011,3,120,"Mixed waders"
2011-04-01,2011,4,112,"Mixed waders"
2011-05-01,2011,5,88,"Mixed waders"
2011-06-01,2011,6,43,"Mixed waders"
2011-07-01,2011,7,41,"Mixed waders"
2011-08-01,2011,8,107,"Mixed waders"
2011-09-01,2011,9,117,"Mixed waders"
2011-10-01,2011,10,184,"Mixed waders"
2011-11-01,2011,11,238,"Mixed waders"
2011-12-01,2011,12,238,"Mixed waders"
2012-01-01,2012,1,207,"Mixed waders"
2012-02-01,2012,2,142,"Mixed waders"
2012-03-01,2012,3,114,"Mixed waders"
2012-04-01,2012,4,70,"Mixed waders"
2012-05-01,2012,5,93,"Mixed waders"
2012-06-01,2012,6,65,"Mixed waders"
2012-07-01,2012,7,76,"Mixed waders"
2012-08-01,2012,8,89,"Mixed waders"
2012-09-01,2012,9,128,"Mixed waders"
2012-10-01,2012,10,192,"Mixed waders"
2012-11-01,2012,11,238,"Mixed waders"
2012-12-01,2012,12,184,"Mixed waders"
2013-01-01,2013,1,158,"Mixed waders"
2013-02-01,2013,2,126,"Mixed waders"
2013-03-01,2013,3,72,"Mixed waders"
2013-04-01,2013,4,88,"Mixed waders"
2013-05-01,2013,5,81,"Mixed waders"
2013-06-01,2013,6,62,"Mixed waders"
2013-07-01,2013,7,74,"Mixed waders"
2013-08-01,2013,8,61,"Mixed waders"
2013-09-01,2013,9,87,"Mixed waders"
2013-10-01,2013,10,204,"Mixed waders"
2013-11-01,2013,11,216,"Mixed waders"
2013-12-01,2013,12,230,"Mixed waders"
2014-01-01,2014,1,162,"Mixed waders"
2014-02-01,2014,2,149,"Mixed waders"
2014-03-01,2014,3,115,"Mixed waders"
2014-04-01,2014,4,79,"Mixed waders"
2014-05-01,2014,5,106,"Mixed waders"
2014-06-01,2014,6,83,"Mixed waders"
2014-07-01,2014,7,70,"Mixed waders"
2014-08-01,2014,8,84,"Mixed waders"
2014-09-01,2014,9,126,"Mixed waders"
2014-10-01,2014,10,209,"Mixed waders"
2014-11-01,2014,11,194,"Mixed waders"
2014-12-01,2014,12,224,"Mixed waders"
2015-01-01,2015,1,176,"Mixed waders"
2015-02-01,2015,2,155,"Mixed waders"
2015-03-01,2015,3,132,"Mixed waders"
2015-04-01,2015,4,126,"Mixed waders"
2015-05-01,2015,5,85,"Mixed waders"
2015-06-01,2015,6,106,"Mixed waders"
2015-07-01,2015,7,88,"Mixed waders"
2015-08-01,2015,8,109,"Mixed waders"
2015-09-01,2015,9,143,"Mixed waders"
2015-10-01,2015,10,231,"Mixed waders"
2015-11-01,2015,11,235,"Mixed waders"
2015-12-01,2015,12,230,"Mixed waders"
2016-01-01,2016,1,201,"Mixed waders"
2016-02-01,2016,2,148,"Mixed waders"
2016-03-01,2016,3,124,"Mixed waders"
2016-04-01,2016,4,121,"Mixed waders"
2016-05-01,2016,5,114,"Mixed waders"
2016-06-01,2016,6,99,"Mixed waders"
2016-07-01,2016,7,74,"Mixed waders"
2016-08-01,2016,8,80,"Mixed waders"
2016-09-01,2016,9,154,"Mixed waders"
2016-10-01,2016,10,225,"Mixed waders"
2016-11-01,2016,11,252,"Mixed waders"
2016-12-01,2016,12,228,"Mixed waders"
2017-01-01,2017,1,171,"Mixed waders"
2017-02-01,2017,2,167,"Mixed waders"
2017-03-01,2017,3,124,"Mixed waders"
2017-04-01,2017,4,104,"Mixed waders"
2017-05-01,2017,5,110,"Mixed waders"
2017-06-01,2017,6,97,"Mixed waders"
2017-07-01,2017,7,100,"Mixed waders"
2017-08-01,2017,8,81,"Mixed waders"
2017-09-01,2017,9,132,"Mixed waders"
2017-10-01,2017,10,232,"Mixed waders"
2017-11-01,2017,11,224,"Mixed waders"
2017-12-01,2017,12,207,"Mixed waders"
2018-01-01,2018,1,162,"Mixed waders"
2018-02-01,2018,2,127,"Mixed waders"
2018-03-01,2018,3,120,"Mixed waders"
2018-04-01,2018,4,108,"Mixed waders"
2018-05-01,2018,5,106,"Mixed waders"
2018-06-01,2018,6,93,"Mixed waders"
2018-07-01,2018,7,57,"Mixed waders"
2018-08-01,2018,8,110,"Mixed waders"
2018-09-01,2018,9,107,"Mixed waders"
2018-10-01,2018,10,209,"Mixed waders"
2018-11-01,2018,11,232,"Mixed waders"
2018-12-01,2018,12,217,"Mixed waders"
2019-01-01,2019,1,182,"Mixed waders"
2019-02-01,2019,2,151,"Mixed waders"
2019-03-01,2019,3,120,"Mixed waders"
2019-04-01,2019,4,103,"Mixed waders"
2019-05-01,2019,5,85,"Mixed waders"
2019-06-01,2019,6,75,"Mixed waders"
2019-07-01,2019,7,54,"Mixed waders"
2019-08-01,2019,8,84,"Mixed waders"
2019-09-01,2019,9,119,"Mixed waders"
2019-10-01,2019,10,258,"Mixed waders"
2019-11-01,2019,11,228,"Mixed waders"
2019-12-01,2019,12,232,"Mixed waders"
2020-01-01,2020,1,169,"Mixed waders"
2020-02-01,2020,2,140,"Mixed waders"
2020-03-01,2020,3,135,"Mixed waders"
2020-04-01,2020,4,100,"Mixed waders"
2020-05-01,2020,5,106,"Mixed waders"
2020-06-01,2020,6,90,"Mixed waders"
2020-07-01,2020,7,84,"Mixed waders"
2020-08-01,2020,8,73,"Mixed waders"
2020-09-01,2020,9,121,"Mixed waders"
2020-10-01,2020,10,233,"Mixed waders"
2020-11-01,2020,11,269,"Mixed waders"
2020-12-01,2020,12,234,"Mixed waders"
2021-01-01,2021,1,202,"Mixed waders"
2021-02-01,2021,2,189,"Mixed waders"
2021-03-01,2021,3,164,"Mixed waders"
2021-04-01,2021,4,106,"Mixed waders"
2021-05-01,2021,5,111,"Mixed waders"
2021-06-01,2021,6,120,"Mixed waders"
2021-07-01,2021,7,90,"Mixed waders"
2021-08-01,2021,8,106,"Mixed waders"
2021-09-01,2021,9,140,"Mixed waders"
2021-10-01,2021,10,218,"Mixed waders"
2021-11-01,2021,11,254,"Mixed waders"
2021-12-01,2021,12,239,"Mixed waders"
2022-01-01,2022,1,193,"Mixed waders"
2022-02-01,2022,2,185,"Mixed waders"
2022-03-01,2022,3,130,"Mixed waders"
2022-04-01,2022,4,110,"Mixed waders"
2022-05-01,2022,5,116,"Mixed waders"
2022-06-01,2022,6,79,"Mixed waders"
2022-07-01,2022,7,88,"Mixed waders"
2022-08-01,2022,8,75,"Mixed waders"
2022-09-01,2022,9,150,"Mixed waders"
2022-10-01,2022,10,217,"Mixed waders"
2022-11-01,2022,11,244,"Mixed waders"
2022-12-01,2022,12,212,"Mixed waders"
2023-01-01,2023,1,189,"Mixed waders"
2023-02-01,2023,2,147,"Mixed waders"
2023-03-01,2023,3,120,"Mixed waders"
2023-04-01,2023,4,127,"Mixed waders"
2023-05-01,2023,5,95,"Mixed waders"
2023-06-01,2023,6,71,"Mixed waders"
2023-07-01,2023,7,85,"Mixed waders"
2023-08-01,2023,8,87,"Mixed waders"
2023-09-01,2023,9,136,"Mixed waders"
2023-10-01,2023,10,239,"Mixed waders"
