"Y_lag_4","Y_lag_3","Y_lag_2","Y_lag_1","Y_lag_0","temp_mean_lag_6","temp_mean_lag_5","temp_mean_lag_4","temp_mean_lag_3","temp_mean_lag_2","temp_mean_lag_1","temp_mean_lag_0","temp_max_lag_8","temp_max_lag_7","temp_max_lag_6","temp_max_lag_5","temp_max_lag_4","temp_max_lag_3","temp_max_lag_2","temp_max_lag_1","temp_max_lag_0","rainfall_lag_9","rainfall_lag_8","rainfall_lag_7","rainfall_lag_6","rainfall_lag_5","rainfall_lag_4","rainfall_lag_3","rainfall_lag_2","rainfall_lag_1","rainfall_lag_0","humidity_lag_2","humidity_lag_1","humidity_lag_0","wind_speed_lag_3","wind_speed_lag_2","wind_speed_lag_1","wind_speed_lag_0"
-12,3,38,0,7,1.32,-0.68,-0.0599999999999987,3.21,0.509999999999998,-3.26,4.33,2.57,-2.27,-0.82,5.23,0.93,-6.11,6.03,-4.23,3.42,5.58000000000001,40.21,-19.09,-22.24,-2.53,-5.44,13.59,-8.62,-13.18,29.42,8.42,-0.790000000000006,-0.349999999999994,-0.0500000000000003,-0.43,0.8,0.78
3,38,0,7,-11,-0.68,-0.0599999999999987,3.21,0.509999999999998,-3.26,4.33,-3.64,-2.27,-0.82,5.23,0.93,-6.11,6.03,-4.23,3.42,-0.52,40.21,-19.09,-22.24,-2.53,-5.44,13.59,-8.62,-13.18,29.42,-20.92,-0.790000000000006,-0.349999999999994,-11.89,-0.43,0.8,0.78,-0.82
38,0,7,-11,32,-0.0599999999999987,3.21,0.509999999999998,-3.26,4.33,-3.64,2.85,-0.82,5.23,0.93,-6.11,6.03,-4.23,3.42,-0.52,-0.0599999999999987,-19.09,-22.24,-2.53,-5.44,13.59,-8.62,-13.18,29.42,-20.92,8.07,-0.349999999999994,-11.89,2.26,0.8,0.78,-0.82,0.06
0,7,-11,32,-12,3.21,0.509999999999998,-3.26,4.33,-3.64,2.85,-0.350000000000001,5.23,0.93,-6.11,6.03,-4.23,3.42,-0.52,-0.0599999999999987,2.29,-22.24,-2.53,-5.44,13.59,-8.62,-13.18,29.42,-20.92,8.07,-20.07,-11.89,2.26,-0.870000000000005,0.78,-0.82,0.06,0.43
7,-11,32,-12,10,0.509999999999998,-3.26,4.33,-3.64,2.85,-0.350000000000001,0.490000000000002,0.93,-6.11,6.03,-4.23,3.42,-0.52,-0.0599999999999987,2.29,-5.26,-2.53,-5.44,13.59,-8.62,-13.18,29.42,-20.92,8.07,-20.07,5.38,2.26,-0.870000000000005,-0.949999999999996,-0.82,0.06,0.43,0.37
-11,32,-12,10,22,-3.26,4.33,-3.64,2.85,-0.350000000000001,0.490000000000002,1.83,-6.11,6.03,-4.23,3.42,-0.52,-0.0599999999999987,2.29,-5.26,1.12,-5.44,13.59,-8.62,-13.18,29.42,-20.92,8.07,-20.07,5.38,10.03,-0.870000000000005,-0.949999999999996,-1.12,0.06,0.43,0.37,-0.28
32,-12,10,22,9,4.33,-3.64,2.85,-0.350000000000001,0.490000000000002,1.83,-3.61,6.03,-4.23,3.42,-0.52,-0.0599999999999987,2.29,-5.26,1.12,6.09,13.59,-8.62,-13.18,29.42,-20.92,8.07,-20.07,5.38,10.03,-8.06,-0.949999999999996,-1.12,-0.519999999999996,0.43,0.37,-0.28,0.89
-12,10,22,9,-9,-3.64,2.85,-0.350000000000001,0.490000000000002,1.83,-3.61,1.31,-4.23,3.42,-0.52,-0.0599999999999987,2.29,-5.26,1.12,6.09,-7.02,-8.62,-13.18,29.42,-20.92,8.07,-20.07,5.38,10.03,-8.06,1.46,-1.12,-0.519999999999996,-2.05,0.37,-0.28,0.89,-0.44
10,22,9,-9,21,2.85,-0.350000000000001,0.490000000000002,1.83,-3.61,1.31,3.97,3.42,-0.52,-0.0599999999999987,2.29,-5.26,1.12,6.09,-7.02,0.649999999999999,-13.18,29.42,-20.92,8.07,-20.07,5.38,10.03,-8.06,1.46,-29.1,-0.519999999999996,-2.05,1.37,-0.28,0.89,-0.44,-0.16
22,9,-9,21,1,-0.350000000000001,0.490000000000002,1.83,-3.61,1.31,3.97,-6.38,-0.52,-0.0599999999999987,2.29,-5.26,1.12,6.09,-7.02,0.649999999999999,-1.14,29.42,-20.92,8.07,-20.07,5.38,10.03,-8.06,1.46,-29.1,13.29,-2.05,1.37,0.799999999999997,0.89,-0.44,-0.16,-0.54
9,-9,21,1,-15,0.490000000000002,1.83,-3.61,1.31,3.97,-6.38,0.859999999999999,-0.0599999999999987,2.29,-5.26,1.12,6.09,-7.02,0.649999999999999,-1.14,0.919999999999998,-20.92,8.07,-20.07,5.38,10.03,-8.06,1.46,-29.1,13.29,-7.3,1.37,0.799999999999997,2.13,-0.44,-0.16,-0.54,0.06
-9,21,1,-15,-15,1.83,-3.61,1.31,3.97,-6.38,0.859999999999999,0.399999999999999,2.29,-5.26,1.12,6.09,-7.02,0.649999999999999,-1.14,0.919999999999998,-0.93,8.07,-20.07,5.38,10.03,-8.06,1.46,-29.1,13.29,-7.3,-5.99,0.799999999999997,2.13,1.81,-0.16,-0.54,0.06,0.67
21,1,-15,-15,10,-3.61,1.31,3.97,-6.38,0.859999999999999,0.399999999999999,-0.18,-5.26,1.12,6.09,-7.02,0.649999999999999,-1.14,0.919999999999998,-0.93,-0.920000000000002,-20.07,5.38,10.03,-8.06,1.46,-29.1,13.29,-7.3,-5.99,0,2.13,1.81,1.73,-0.54,0.06,0.67,-0.45
1,-15,-15,10,10,1.31,3.97,-6.38,0.859999999999999,0.399999999999999,-0.18,-1.7,1.12,6.09,-7.02,0.649999999999999,-1.14,0.919999999999998,-0.93,-0.920000000000002,1.91,5.38,10.03,-8.06,1.46,-29.1,13.29,-7.3,-5.99,0,30.64,1.81,1.73,-6.59,0.06,0.67,-0.45,0.66
-15,-15,10,10,-4,3.97,-6.38,0.859999999999999,0.399999999999999,-0.18,-1.7,-0.240000000000002,6.09,-7.02,0.649999999999999,-1.14,0.919999999999998,-0.93,-0.920000000000002,1.91,-2.29,10.03,-8.06,1.46,-29.1,13.29,-7.3,-5.99,0,30.64,-19.1,1.73,-6.59,3.96,0.67,-0.45,0.66,-1.45
-15,10,10,-4,-25,-6.38,0.859999999999999,0.399999999999999,-0.18,-1.7,-0.240000000000002,1.35,-7.02,0.649999999999999,-1.14,0.919999999999998,-0.93,-0.920000000000002,1.91,-2.29,-0.599999999999998,-8.06,1.46,-29.1,13.29,-7.3,-5.99,0,30.64,-19.1,-8.69,-6.59,3.96,9.88,-0.45,0.66,-1.45,0.9
10,10,-4,-25,13,0.859999999999999,0.399999999999999,-0.18,-1.7,-0.240000000000002,1.35,-2.6,0.649999999999999,-1.14,0.919999999999998,-0.93,-0.920000000000002,1.91,-2.29,-0.599999999999998,0.0199999999999996,1.46,-29.1,13.29,-7.3,-5.99,0,30.64,-19.1,-8.69,16.56,3.96,9.88,-10.37,0.66,-1.45,0.9,-0.52
10,-4,-25,13,-35,0.399999999999999,-0.18,-1.7,-0.240000000000002,1.35,-2.6,-0.0700000000000003,-1.14,0.919999999999998,-0.93,-0.920000000000002,1.91,-2.29,-0.599999999999998,0.0199999999999996,-1.33,-29.1,13.29,-7.3,-5.99,0,30.64,-19.1,-8.69,16.56,-19.41,9.88,-10.37,5.72000000000001,-1.45,0.9,-0.52,0.89
-4,-25,13,-35,47,-0.18,-1.7,-0.240000000000002,1.35,-2.6,-0.0700000000000003,-0.549999999999997,0.919999999999998,-0.93,-0.920000000000002,1.91,-2.29,-0.599999999999998,0.0199999999999996,-1.33,-0.649999999999999,13.29,-7.3,-5.99,0,30.64,-19.1,-8.69,16.56,-19.41,9.08,-10.37,5.72000000000001,-4.74,0.9,-0.52,0.89,-0.63
